external_id,first_name,last_name,full_name,display_name,short_name,team_id
4240033,Pokey,Wilson,Pokey Wilson,Pokey Wilson,P. Wilson,20
4240532,Tony,Adams,Tony Adams,Tony Adams,T. Adams,20
4362234,Zaire,Barnes,Zaire Barnes,Zaire Barnes,Z. Barnes,20
4692555,Tyler,Baron,Tyler Baron,Tyler Baron,T. Baron,20
4361834,Jarrick,Bernard-Converse,Jarrick Bernard-Converse,Jarrick Bernard-Converse,J. Bernard-Converse,20
3929845,Kris,Boyd,Kris Boyd,Kris Boyd,K. Boyd,20
4240456,Michael,Carter II,Michael Carter II,Michael Carter II,M. Carter II,20
4361939,Andre,Cisco,Andre Cisco,Andre Cisco,A. Cisco,20
4426921,Dean,Clark,Dean Clark,Dean Clark,D. Clark,20
4429411,Jordan,Clark,Jordan Clark,Jordan Clark,J. Clark,20
4240896,Micheal,Clemons,Micheal Clemons,Micheal Clemons,M. Clemons,20
3916922,Byron,Cowart,Byron Cowart,Byron Cowart,B. Cowart,20
4240778,Jamin,Davis,Jamin Davis,Jamin Davis,J. Davis,20
4427196,Michael,Fletcher,Michael Fletcher,Michael Fletcher,M. Fletcher,20
4427250,Sauce,Gardner,Sauce Gardner,Sauce Gardner,S. Gardner,20
4567962,Jermaine,Johnson,Jermaine Johnson,Jermaine Johnson,J. Johnson,20
4240405,Kingsley,Jonathan,Kingsley Jonathan,Kingsley Jonathan,K. Jonathan,20
4241468,Phidarian,Mathis,Phidarian Mathis,Phidarian Mathis,P. Mathis,20
4700136,Francisco,Mauigoa,Francisco Mauigoa,Francisco Mauigoa,F. Mauigoa,20
4361824,Tanner,McCalister,Tanner McCalister,Tanner McCalister,T. McCalister,20
4045299,Marcelino,McCrary-Ball,Marcelino McCrary-Ball,Marcelino McCrary-Ball,M. McCrary-Ball,20
4361767,Will,McDonald IV,Will McDonald IV,Will McDonald IV,W. McDonald IV,20
4429005,Braiden,McGregor,Braiden McGregor,Braiden McGregor,B. McGregor,20
4430182,Jarius,Monroe,Jarius Monroe,Jarius Monroe,J. Monroe,20
4692024,Malachi,Moore,Malachi Moore,Malachi Moore,M. Moore,20
4565309,Fatorma,Mulbah,Fatorma Mulbah,Fatorma Mulbah,F. Mulbah,20
3122930,Derrick,Nnadi,Derrick Nnadi,Derrick Nnadi,D. Nnadi,20
3915437,Isaiah,Oliver,Isaiah Oliver,Isaiah Oliver,I. Oliver,20
4431582,Payton,Page,Payton Page,Payton Page,P. Page,20
4361331,Jamien,Sherwood,Jamien Sherwood,Jamien Sherwood,J. Sherwood,20
4567225,Jaylin,Simpson,Jaylin Simpson,Jaylin Simpson,J. Simpson,20
4361101,Jackson,Sirmon,Jackson Sirmon,Jackson Sirmon,J. Sirmon,20
4749258,Aaron,Smith,Aaron Smith,Aaron Smith,A. Smith,20
4035824,Brandon,Stephens,Brandon Stephens,Brandon Stephens,B. Stephens,20
5208977,Qwan'tez,Stiggers,Qwan'tez Stiggers,Qwan'tez Stiggers,Q. Stiggers,20
4431598,Leonard,Taylor III,Leonard Taylor III,Leonard Taylor III,L. Taylor III,20
4685596,Azareye'h,Thomas,Azareye'h Thomas,Azareye'h Thomas,A. Thomas,20
4259647,Jay,Tufele,Jay Tufele,Jay Tufele,J. Tufele,20
4569016,Eric,Watts,Eric Watts,Eric Watts,E. Watts,20
4036076,Rashad,Weaver,Rashad Weaver,Rashad Weaver,R. Weaver,20
4567416,Ja'Markis,Weston,Ja'Markis Weston,Ja'Markis Weston,J. Weston,20
3110565,Quincy,Williams,Quincy Williams,Quincy Williams,Q. Williams,20
4040982,Quinnen,Williams,Quinnen Williams,Quinnen Williams,Q. Williams,20
4570688,Caden,Davis,Caden Davis,Caden Davis,C. Davis,20
2983155,Thomas,Hennessy,Thomas Hennessy,Thomas Hennessy,T. Hennessy,20
4570033,Kai,Kroeger,Kai Kroeger,Kai Kroeger,K. Kroeger,20
4427982,Austin,McNamara,Austin McNamara,Austin McNamara,A. McNamara,20
4574716,Harrison,Mevis,Harrison Mevis,Harrison Mevis,H. Mevis,20
